color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:date,milgeo:meta:desc,milgeo:meta:icon,milgeo:meta:name,milgeo:meta:observation_datetime,name,observation_datetime,outline-color,sidc
"128,0,128,1",POINT (37.4469135 48.3747486),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04411""]",,альянс1,,,10016600006099000000
"128,0,128,1",POINT (37.4482463 48.3748655),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04412""]",,альянс2,,,10016600006099000000
"128,0,128,1",POINT (37.4495927 48.3749826),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04413""]",,альянс3,,,10016600006099000000
"128,0,128,1",POINT (37.4509252 48.3751084),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04414""]",,альянс4,,,10016600006099000000
"128,0,128,1",POINT (37.4522581 48.3752253),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04415""]",,альянс5,,,10016600006099000000
"128,0,128,1",POINT (37.4536044 48.3753423),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04416""]",,альянс6,,,10016600006099000000
"128,0,128,1",POINT (37.4549373 48.3754592),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04417""]",,альянс7,,,10016600006099000000
"128,0,128,1",POINT (37.4562837 48.3755762),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04418""]",,альянс8,,,10016600006099000000
"128,0,128,1",POINT (37.4576163 48.375702),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u04419""]",,альянс9,,,10016600006099000000
"128,0,128,1",POINT (37.4589492 48.3758188),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u044110""]",,альянс10,,,10016600006099000000
