color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:icon,milgeo:meta:name,milgeo:meta:observation_datetime,name,observation_datetime,outline-color,sidc
"128,0,128,1",POINT (37.5107724 48.3776707),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0435\u043b\u0438\u043a-2025-02-03T16.51.21.627777.csv"", ""\u0432\u0435\u043b\u0438\u043a15""]",,велик15,,,10016600006099000000
"128,0,128,1",POINT (37.5113698 48.3784788),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0435\u043b\u0438\u043a-2025-02-03T16.51.21.627777.csv"", ""\u0432\u0435\u043b\u0438\u043a16""]",,велик16,,,10016600006099000000
"128,0,128,1",POINT (37.3270419 48.3525351),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04301""]",,вакса1,,,10016600006099000000
"128,0,128,1",POINT (37.3283583 48.3527161),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04302""]",,вакса2,,,10016600006099000000
"128,0,128,1",POINT (37.3289895 48.3528063),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04303""]",,вакса3,,,10016600006099000000
"128,0,128,1",POINT (37.3303051 48.3530142),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04304""]",,вакса4,,,10016600006099000000
"128,0,128,1",POINT (37.3309627 48.3531227),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04305""]",,вакса5,,,10016600006099000000
"128,0,128,1",POINT (37.3326307 48.3532818),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04306""]",,вакса6,,,10016600006099000000
"128,0,128,1",POINT (37.3339817 48.3532294),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04307""]",,вакса7,,,10016600006099000000
"128,0,128,1",POINT (37.3347115 48.353195),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04308""]",,вакса8,,,10016600006099000000
