color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:name,name,outline-color,sidc
"255,0,0,1",POINT (37.4654521 48.3629193),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04461""]",заяц1,,10016600006099000000
"255,0,0,1",POINT (37.4652626 48.3638341),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04462""]",заяц2,,10016600006099000000
"255,0,0,1",POINT (37.4650729 48.3647579),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04463""]",заяц3,,10016600006099000000
"255,0,0,1",POINT (37.4648969 48.3656728),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04464""]",заяц4,,10016600006099000000
"255,0,0,1",POINT (37.4647075 48.3665876),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04465""]",заяц5,,10016600006099000000
"255,0,0,1",POINT (37.4645177 48.3675114),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04466""]",заяц6,,10016600006099000000
"255,0,0,1",POINT (37.4643283 48.3684262),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04467""]",заяц7,,10016600006099000000
"255,0,0,1",POINT (37.4641388 48.369341),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04468""]",заяц8,,10016600006099000000
"255,0,0,1",POINT (37.463949 48.3702648),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u04469""]",заяц9,,10016600006099000000
"255,0,0,1",POINT (37.463773 48.3711798),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044610""]",заяц10,,10016600006099000000
"255,0,0,1",POINT (37.4635835 48.3720946),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044611""]",заяц11,,10016600006099000000
"255,0,0,1",POINT (37.4633937 48.3730183),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044612""]",заяц12,,10016600006099000000
"255,0,0,1",POINT (37.4632042 48.3739331),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044613""]",заяц13,,10016600006099000000
"255,0,0,1",POINT (37.4630147 48.3748479),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044614""]",заяц14,,10016600006099000000
"255,0,0,1",POINT (37.4628251 48.3757627),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044615""]",заяц15,,10016600006099000000
"255,0,0,1",POINT (37.4626488 48.3766867),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044616""]",заяц16,,10016600006099000000
"255,0,0,1",POINT (37.4624593 48.3776015),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044617""]",заяц17,,10016600006099000000
"255,0,0,1",POINT (37.4622697 48.3785162),"[""#ffff0000""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-04-30T07.44.21.820907.kml.ldk"", ""\u0437\u0430\u044f\u044618""]",заяц18,,10016600006099000000
