color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:name,name,sidc
"255,165,0,1",POINT (37.4221458 48.4414387),"[""#ffffa500""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.14.22.747008.kml.ldk"", ""\u043a\u0440\u044b\u0448\u043023""]",крыша23,10016600006099000000
"255,0,255,1",POINT (37.432056 48.4431121),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e1""]",упорство1,10016600006099000000
"255,0,255,1",POINT (37.4318521 48.4440266),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e2""]",упорство2,10016600006099000000
"255,0,255,1",POINT (37.4316617 48.4449414),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e3""]",упорство3,10016600006099000000
"255,0,255,1",POINT (37.4314575 48.4458649),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e4""]",упорство4,10016600006099000000
"255,0,255,1",POINT (37.4312671 48.4467796),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e5""]",упорство5,10016600006099000000
"255,0,255,1",POINT (37.4310632 48.4476941),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e6""]",упорство6,10016600006099000000
"255,0,255,1",POINT (37.4308728 48.4486089),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e7""]",упорство7,10016600006099000000
"255,0,255,1",POINT (37.4306686 48.4495324),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e8""]",упорство8,10016600006099000000
"255,0,255,1",POINT (37.4304782 48.4504471),"[""#ffff00ff""]","[""AlpineQuest 2.3.3""]","[""https://www.alpinequest.net""]",[],"[""KML-P-2025-05-01T06.16.56.673041.kml.ldk"", ""\u0443\u043f\u043e\u0440\u0441\u0442\u0432\u043e9""]",упорство9,10016600006099000000
