"sidc","id","quantity","name","observation_datetime","reliability_credibility","staff_comments","platform_type","direction","speed","coordinates"
"10031000001211000000","","1","заяц1","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4654521 48.362919299999994)"
"10031000001211000000","","1","заяц2","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.465262599999996 48.3638341)"
"10031000001211000000","","1","заяц3","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.465072899999996 48.3647579)"
"10031000001211000000","","1","заяц4","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4648969 48.3656728)"
"10031000001211000000","","1","заяц5","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.464707499999996 48.366587599999995)"
"10031000001211000000","","1","заяц6","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4645177 48.3675114)"
"10031000001211000000","","1","заяц7","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4643283 48.368426199999995)"
"10031000001211000000","","1","заяц8","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4641388 48.369341)"
"10031000001211000000","","1","заяц9","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.463949 48.3702648)"
"10031000001211000000","","1","заяц10","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.463772999999996 48.3711798)"
"10031000001211000000","","1","заяц11","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4635835 48.3720946)"
"10031000001211000000","","1","заяц12","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4633937 48.3730183)"
"10031000001211000000","","1","заяц13","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4632042 48.373933099999995)"
"10031000001211000000","","1","заяц14","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.463014699999995 48.3748479)"
"10031000001211000000","","1","заяц15","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.462825099999996 48.375762699999996)"
"10031000001211000000","","1","заяц16","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4626488 48.3766867)"
"10031000001211000000","","1","заяц17","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4624593 48.3776015)"
"10031000001211000000","","1","заяц18","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4622697 48.3785162)"
"10031000001211000000","","1","заяц19","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4620799 48.379439999999995)"
"10031000001211000000","","1","заяц20","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4618903 48.3803548)"
"10031000001211000000","","1","заяц21","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4617007 48.381269599999996)"
"10031000001211000000","","1","заяц22","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4615244 48.3821936)"
"10031000001211000000","","1","заяц23","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.461334799999996 48.383108299999996)"
"10031000001211000000","","1","заяц24","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4611452 48.3840231)"
"10031000001211000000","","1","заяц25","","Колір: Червоний; Автор: AlpineQuest 2.3.3","","","","","POINT (37.460955299999995 48.384946899999996)"
"10031000001211000000","","1","альянс1","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4466849 48.3747184)"
"10031000001211000000","","1","альянс2","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4480582 48.3748359)"
"10031000001211000000","","1","альянс3","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.449444799999995 48.374962499999995)"
"10031000001211000000","","1","альянс4","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4508181 48.37508)"
"10031000001211000000","","1","альянс5","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4521912 48.375206399999996)"
"10031000001211000000","","1","альянс6","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.453578 48.375324)"
"10031000001211000000","","1","альянс7","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.454951099999995 48.3754503)"
"10031000001211000000","","1","альянс8","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4563244 48.3755677)"
"10031000001211000000","","1","альянс9","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.457710999999996 48.3756942)"
"10031000001211000000","","1","альянс10","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4590844 48.3758116)"
"10031000001211000000","","1","альянс11","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.460471 48.3759381)"
"10031000001211000000","","1","альянс12","","Колір: Зелений; Автор: AlpineQuest 2.3.3","","","","","POINT (37.4618444 48.3760554)"
"10031000001211000000","","1","кружка1","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4651469 48.3856414)"
"10031000001211000000","","1","кружка2","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4665627 48.3857053)"
"10031000001211000000","","1","кружка3","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4679782 48.385778099999996)"
"10031000001211000000","","1","кружка4","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4693939 48.385841899999996)"
"10031000001211000000","","1","кружка5","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.470796199999995 48.3859056)"
"10031000001211000000","","1","кружка6","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.472211699999995 48.3859783)"
"10031000001211000000","","1","кружка7","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4731422 48.3860177)"
"10031000001211000000","","1","кружка8","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.474258899999995 48.3865991)"
"10031000001211000000","","1","кружка9","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.475376 48.3871715)"
"10031000001211000000","","1","кружка10","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4764664 48.3877345)"
"10031000001211000000","","1","кружка11","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.477596999999996 48.3883071)"
"10031000001211000000","","1","кружка12","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.478713899999995 48.3888884)"
"10031000001211000000","","1","кружка13","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4798445 48.389461)"
"10031000001211000000","","1","кружка14","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4809617 48.3900333)"
"10031000001211000000","","1","кружка15","","Автор: AlpineQuest 2.3.3","","","","","POINT (37.4820922 48.390614799999994)"
